latitude,longitude,confidence,,,
17.856,-92.104,58,,,
17.975,-90.923,63,,,
17.927,-91.364,83,,,
17.988,-90.924,67,,,
17.855,-92.11,53,,,
18.002,-90.907,87,,,
18.258,-88.73,84,,,
18.133,-90.541,93,,,
17.891,-92.488,0,,,
18.134,-90.525,73,,,
18.131,-90.546,89,,,
17.838,-93.116,94,,,
18.357,-88.629,50,,,
18.12,-91.594,68,,,
18.118,-91.612,56,,,
18.132,-91.596,63,,,
18.13,-91.613,68,,,
17.865,-93.817,73,,,
18.474,-88.679,81,,,
18.146,-91.684,78,,,
18.144,-91.701,71,,,
18.475,-88.655,65,,,
18.473,-88.684,70,,,
17.991,-93.361,59,,,
17.575,-96.673,100,,,
17.574,-96.682,100,,,
17.572,-96.692,31,,,
17.973,-93.764,70,,,
17.971,-93.776,74,,,
17.584,-96.674,100,,,
17.582,-96.684,100,,,
17.581,-96.693,100,,,
17.58,-96.702,97,,,
17.578,-96.712,89,,,
18.003,-93.606,100,,,
18.001,-93.618,100,,,
17.593,-96.676,96,,,
17.591,-96.685,100,,,
17.59,-96.694,100,,,
17.589,-96.704,100,,,
17.587,-96.713,60,,,
17.602,-96.677,59,,,
17.6,-96.686,92,,,
17.926,-94.439,76,,,
17.924,-94.45,71,,,
17.93,-94.435,69,,,
17.929,-94.446,84,,,
17.94,-94.436,93,,,
17.938,-94.447,87,,,
18.332,-91.855,0,,,
18.327,-91.86,47,,,
17.987,-94.705,72,,,
17.996,-94.706,100,,,
18.427,-91.51,60,,,
18.168,-93.666,81,,,
18.439,-91.512,0,,,
18.791,-88.672,72,,,
17.525,-98.714,36,,,
17.513,-98.793,80,,,
17.522,-98.794,74,,,
18.793,-88.65,39,,,
18.791,-88.68,70,,,
17.894,-96.569,75,,,
18.121,-95.155,79,,,
18.12,-95.165,78,,,
18.655,-90.75,49,,,
17.691,-98.347,95,,,
18.632,-91.199,33,,,
17.505,-99.617,27,,,
17.652,-98.73,71,,,
17.515,-99.618,91,,,
17.513,-99.629,96,,,
17.612,-99.118,49,,,
17.548,-99.658,41,,,
17.989,-96.749,93,,,
17.987,-96.759,91,,,
17.775,-98.219,87,,,
17.774,-98.229,44,,,
17.553,-99.655,46,,,
